date,bookings,day_of_week,month,holiday,special_event,weather,distance,amenities,revenue
2018-05-25,10,4,5,0,0,Sunny,2.3,5,236540
2018-05-26,15,5,5,0,1,Sunny,2.6,2,195780
2018-05-26,15,5,5,1,0,Sunny,2.6,4,160890
2018-05-27,7,6,5,0,0,Sunny,3.2,5,96320
2018-05-27,5,6,5,0,0,Rainy,1.9,4,59375
2018-05-28,18,0,5,0,0,Rainy,4.3,4,431442
2018-05-29,16,1,5,0,0,Rainy,2.2,3,224528
2018-05-30,12,2,5,0,0,Cloudy,3.8,4,185316
2018-05-31,16,3,5,0,0,Cloudy,3.1,5,437968
2018-05-31,17,3,5,0,0,Sunny,3.3,4,233648
2018-06-01,9,4,6,0,0,Rainy,1.7,5,242793
2018-06-02,19,5,6,0,0,Cloudy,3.9,4,223706
2018-06-03,9,6,6,0,1,Cloudy,1.8,2,185859
2018-06-03,15,6,6,0,0,Rainy,1.5,3,164025
2018-06-03,8,6,6,1,0,Cloudy,3.2,2,187160
2018-06-04,10,0,6,0,1,Cloudy,3.8,3,138080
2018-06-05,7,1,6,0,0,Rainy,1.2,5,187005
2018-06-06,13,2,6,0,0,Cloudy,1.3,3,281333
2018-06-07,9,3,6,0,0,Rainy,4.2,4,261774
2018-06-09,7,5,6,0,0,Cloudy,4.2,4,170632
2018-06-09,15,5,6,0,0,Rainy,2.0,2,238335
2018-06-10,5,6,6,0,0,Cloudy,3.5,3,75270
2018-06-11,14,0,6,0,1,Cloudy,2.8,5,194152
2018-06-11,16,0,6,0,1,Rainy,3.5,5,425360
2018-06-14,10,3,6,0,0,Cloudy,4.5,4,288810
2018-06-15,19,4,6,0,0,Rainy,1.3,5,224998
2018-06-16,6,5,6,0,0,Rainy,4.1,4,120348
2018-06-16,17,5,6,0,0,Cloudy,3.0,4,324717
2018-06-17,7,6,6,0,0,Sunny,3.3,4,157479
2018-06-19,5,1,6,0,0,Cloudy,3.6,2,73290
2018-06-19,13,1,6,0,1,Sunny,4.7,2,277953
2018-06-21,12,3,6,1,1,Sunny,1.2,4,210528
2018-06-21,16,3,6,0,0,Cloudy,1.1,4,283488
2018-06-22,6,4,6,0,0,Sunny,1.7,4,143106
2018-06-22,19,4,6,0,0,Rainy,4.9,5,515926
2018-06-22,16,4,6,0,0,Rainy,3.9,4,472624
2018-06-26,15,1,6,0,0,Sunny,3.5,4,326655
2018-06-26,12,1,6,0,0,Rainy,1.2,3,139536
2018-06-26,16,1,6,0,0,Cloudy,4.5,3,166176
2018-06-30,18,5,6,0,0,Rainy,4.3,3,288558
2018-07-01,13,6,7,0,0,Sunny,3.7,3,213707
2018-07-02,5,0,7,1,0,Cloudy,2.4,4,116960
2018-07-03,17,1,7,0,0,Rainy,1.3,3,490450
2018-07-06,9,4,7,0,0,Cloudy,3.3,5,110538
2018-07-06,12,4,7,0,0,Sunny,3.9,5,142272
2018-07-06,19,4,7,0,1,Rainy,1.4,3,487730
2018-07-07,15,5,7,0,0,Cloudy,3.5,2,179970
2018-07-07,18,5,7,0,0,Cloudy,2.1,5,278568
2018-07-09,6,0,7,0,0,Rainy,4.1,5,116568
2018-07-09,8,0,7,0,0,Cloudy,3.2,3,117352
2018-07-09,11,0,7,0,0,Cloudy,1.5,3,245696
2018-07-10,7,1,7,0,0,Sunny,3.1,4,135394
2018-07-11,17,2,7,0,0,Sunny,2.6,5,290088
2018-07-13,16,4,7,0,0,Sunny,1.7,3,279136
2018-07-13,9,4,7,0,0,Sunny,4.4,3,250335
2018-07-15,12,6,7,0,0,Sunny,1.0,4,187488
2018-07-17,16,1,7,0,0,Sunny,2.2,5,279376
2018-07-17,14,1,7,0,0,Rainy,1.1,3,165466
2018-07-20,7,4,7,0,0,Sunny,1.4,4,143612
2018-07-20,8,4,7,0,0,Cloudy,2.2,3,189992
2018-07-21,18,5,7,0,0,Rainy,1.2,2,495252
2018-07-21,19,5,7,0,1,Cloudy,3.4,2,240502
2018-07-22,13,6,7,0,0,Sunny,1.3,3,175500
2018-07-22,18,6,7,0,1,Sunny,3.8,5,218160
2018-07-24,18,1,7,0,1,Cloudy,1.2,2,252360
2018-07-25,11,2,7,0,0,Cloudy,1.2,4,222343
2018-07-26,5,3,7,0,0,Cloudy,2.2,3,66295
2018-07-27,18,4,7,0,0,Rainy,4.6,4,361458
2018-08-02,16,3,8,1,1,Sunny,3.6,2,189168
2018-08-03,8,4,8,0,0,Cloudy,4.1,5,222864
2018-08-04,8,5,8,0,0,Sunny,1.6,4,229008
2018-08-04,13,5,8,0,0,Cloudy,4.3,2,305071
2018-08-04,10,5,8,1,0,Sunny,1.0,2,296270
2018-08-05,13,6,8,0,0,Rainy,1.9,2,220870
2018-08-05,16,6,8,0,0,Sunny,3.5,4,210144
2018-08-05,19,6,8,0,0,Cloudy,2.5,2,540626
2018-08-06,10,0,8,0,1,Sunny,4.9,3,267430
2018-08-06,10,0,8,0,0,Rainy,1.1,2,254340
2018-08-06,9,0,8,0,0,Rainy,5.0,3,225063
2018-08-08,9,2,8,0,0,Sunny,3.5,5,182097
2018-08-12,6,6,8,1,0,Cloudy,3.2,3,158268
2018-08-13,12,0,8,0,0,Rainy,1.2,5,133692
2018-08-14,12,1,8,0,0,Rainy,2.1,5,336228
2018-08-14,15,1,8,0,0,Sunny,4.7,3,302025
2018-08-14,17,1,8,0,0,Rainy,2.4,5,390422
2018-08-16,5,3,8,0,0,Rainy,3.6,3,66805
2018-08-16,12,3,8,0,0,Cloudy,5.0,4,214020
2018-08-17,9,4,8,0,0,Cloudy,2.1,5,190548
2018-08-18,6,5,8,0,0,Cloudy,3.3,3,158340
2018-08-19,18,6,8,0,0,Sunny,3.8,5,238806
2018-08-19,6,6,8,1,0,Rainy,1.7,2,99384
2018-08-21,18,1,8,0,0,Sunny,1.6,3,521820
2018-08-21,19,1,8,0,0,Rainy,2.8,2,406809
2018-08-23,19,3,8,0,1,Rainy,2.5,5,302214
2018-08-24,10,4,8,0,1,Rainy,3.9,5,260280
2018-08-24,15,4,8,0,0,Cloudy,1.3,4,444855
2018-08-25,17,5,8,0,0,Sunny,4.9,3,299387
2018-08-27,13,0,8,0,0,Sunny,1.1,2,354861
2018-08-30,5,3,8,0,0,Rainy,3.4,4,60055
2018-08-31,16,4,8,0,0,Sunny,3.3,5,445216
2018-09-01,10,5,9,0,0,Cloudy,1.5,5,212460
2018-09-02,13,6,9,0,0,Sunny,1.6,4,309270
2018-09-03,12,0,9,0,0,Rainy,4.2,2,260856
2018-09-04,15,1,9,0,0,Cloudy,4.6,5,370950
2018-09-04,10,1,9,0,0,Cloudy,2.1,5,211200
2018-09-06,7,3,9,0,0,Rainy,2.8,3,197491
2018-09-06,12,3,9,0,0,Sunny,2.4,4,225204
2018-09-07,13,4,9,0,0,Rainy,1.3,5,308139
2018-09-07,5,4,9,0,0,Sunny,3.7,2,54645
2018-09-08,16,5,9,0,0,Sunny,4.3,3,351216
2018-09-10,13,0,9,0,0,Cloudy,2.2,4,335985
2018-09-10,18,0,9,0,0,Rainy,5.0,2,493884
2018-09-11,19,1,9,0,0,Cloudy,1.3,5,489193
2018-09-11,10,1,9,0,0,Rainy,3.6,4,157440
2018-09-13,10,3,9,0,1,Rainy,2.8,4,282840
2018-09-15,16,5,9,0,0,Cloudy,2.8,2,314384
2018-09-16,8,6,9,0,0,Rainy,2.8,4,135840
2018-09-16,5,6,9,0,0,Rainy,2.0,2,85345
2018-09-18,14,1,9,0,0,Sunny,3.9,5,274274
2018-09-18,12,1,9,1,0,Rainy,3.9,3,357588
2018-09-20,6,3,9,0,0,Rainy,2.1,2,62652
2018-09-21,16,4,9,0,0,Cloudy,4.3,3,234432
2018-09-22,5,5,9,1,0,Cloudy,2.3,4,96850
2018-09-23,6,6,9,0,0,Rainy,3.9,2,105582
2018-09-25,5,1,9,0,1,Sunny,1.5,5,121625
2018-09-25,5,1,9,0,0,Sunny,1.7,2,72290
2018-09-26,13,2,9,0,0,Cloudy,2.3,2,215683
2018-09-27,17,3,9,0,0,Rainy,3.4,2,447882
2018-09-27,18,3,9,0,0,Rainy,3.6,3,392868
2018-09-29,5,5,9,0,0,Sunny,2.6,3,143465
2018-10-02,17,1,10,0,0,Sunny,1.3,4,410346
2018-10-04,8,3,10,1,1,Sunny,2.5,4,218352
2018-10-04,14,3,10,0,0,Cloudy,3.8,4,170366
2018-10-06,10,5,10,0,0,Rainy,3.7,4,285560
2018-10-07,11,6,10,0,0,Cloudy,1.6,2,179443
2018-10-07,6,6,10,0,0,Rainy,1.0,3,109890
2018-10-08,10,0,10,0,0,Cloudy,4.0,3,180360
2018-10-11,11,3,10,1,0,Rainy,1.4,3,118635
2018-10-12,14,4,10,0,0,Sunny,1.3,3,225946
2018-10-12,18,4,10,0,0,Sunny,1.0,4,294192
2018-10-12,14,4,10,0,0,Sunny,2.7,2,403200
2018-10-13,6,5,10,0,1,Cloudy,3.0,3,149838
2018-10-16,19,1,10,1,0,Sunny,3.6,5,296761
2018-10-16,6,1,10,0,0,Rainy,2.2,2,71616
2018-10-20,14,5,10,0,0,Cloudy,3.8,5,193298
2018-10-21,11,6,10,0,0,Rainy,1.7,2,188661
2018-10-23,16,1,10,0,0,Cloudy,4.3,2,311888
2018-10-23,5,1,10,0,0,Rainy,3.3,2,111775
2018-10-23,12,1,10,0,1,Rainy,3.3,5,158832
2018-10-29,15,0,10,0,0,Cloudy,1.8,3,387720
2018-10-29,17,0,10,0,0,Cloudy,1.3,3,209984
2018-10-30,7,1,10,0,0,Sunny,2.9,5,83524
2018-11-01,15,3,11,0,0,Sunny,3.5,3,313695
2018-11-07,10,2,11,0,0,Rainy,1.4,4,185560
2018-11-09,13,4,11,0,0,Rainy,4.8,3,201474
2018-11-09,10,4,11,0,0,Rainy,4.9,4,205820
2018-11-10,13,5,11,0,0,Cloudy,3.2,4,355290
2018-11-11,11,6,11,0,1,Cloudy,4.8,4,262515
2018-11-12,19,0,11,0,0,Sunny,1.7,5,371811
2018-11-14,13,2,11,0,0,Rainy,1.1,3,361699
2018-11-14,6,2,11,0,1,Sunny,1.2,3,89142
2018-11-14,16,2,11,0,0,Cloudy,3.4,5,165440
2018-11-16,12,4,11,0,0,Cloudy,1.2,5,254172
2018-11-17,12,5,11,0,1,Cloudy,4.8,3,321192
2018-11-17,6,5,11,1,0,Sunny,1.6,5,110946
2018-11-20,16,1,11,0,0,Cloudy,2.2,5,162208
2018-11-20,18,1,11,0,0,Rainy,4.3,4,186444
2018-11-22,8,3,11,0,0,Sunny,1.9,5,157712
2018-11-23,18,4,11,0,0,Cloudy,2.0,4,537120
2018-11-24,19,5,11,0,0,Sunny,3.6,2,220913
2018-11-25,15,6,11,0,0,Sunny,2.1,4,389940
2018-11-25,19,6,11,1,0,Cloudy,1.9,4,285076
2018-11-26,11,0,11,0,0,Cloudy,2.0,5,256113
2018-11-26,15,0,11,0,0,Sunny,3.0,3,249780
2018-11-27,8,1,11,0,1,Sunny,4.9,2,236432
2018-11-30,8,4,11,0,0,Cloudy,4.3,2,97208
2018-12-01,10,5,12,0,1,Rainy,2.1,2,194290
2018-12-02,14,6,12,0,0,Sunny,2.5,3,337008
2018-12-03,10,0,12,0,0,Sunny,2.9,2,219270
2018-12-04,14,1,12,0,0,Rainy,4.9,2,236670
2018-12-04,19,1,12,0,0,Cloudy,1.7,3,555142
2018-12-04,7,1,12,0,0,Cloudy,2.4,2,157164
2018-12-05,19,2,12,0,0,Rainy,3.9,5,498028
2018-12-05,13,2,12,0,0,Cloudy,4.9,5,376363
2018-12-06,16,3,12,0,0,Cloudy,1.6,4,180912
2018-12-07,14,4,12,0,0,Sunny,1.9,4,347928
2018-12-08,18,5,12,0,0,Sunny,1.9,4,227880
2018-12-08,15,5,12,0,0,Sunny,1.1,5,306045
2018-12-10,6,0,12,0,0,Rainy,3.4,5,121428
2018-12-12,10,2,12,0,0,Cloudy,3.7,5,162070
2018-12-12,16,2,12,0,0,Cloudy,3.4,4,472736
2018-12-12,11,2,12,0,0,Sunny,1.3,4,122540
2018-12-13,16,3,12,1,1,Sunny,1.3,4,187328
2018-12-14,17,4,12,0,0,Rainy,1.8,4,231710
2018-12-16,13,6,12,0,0,Cloudy,2.2,4,384735
2018-12-16,17,6,12,0,0,Rainy,4.1,4,348245
2018-12-22,7,5,12,0,1,Cloudy,1.6,5,154147
2018-12-23,14,6,12,0,0,Rainy,1.2,3,376026
2018-12-24,7,0,12,0,1,Sunny,2.6,3,123788
2018-12-26,11,2,12,0,0,Rainy,2.7,4,123277
2018-12-29,18,5,12,0,0,Rainy,2.8,3,419958
2018-12-29,8,5,12,0,1,Sunny,4.3,3,95680
2018-12-30,17,6,12,0,0,Cloudy,1.4,5,179469
2018-12-31,12,0,12,0,0,Cloudy,3.8,4,310596
2018-12-31,17,0,12,0,0,Sunny,2.4,4,406181
2019-01-05,11,5,1,0,1,Rainy,2.2,3,119702
2019-01-06,9,6,1,0,0,Rainy,4.7,4,132849
2019-01-07,11,0,1,0,0,Rainy,2.0,4,174537
2019-01-08,7,1,1,0,0,Cloudy,3.6,4,160083
2019-01-09,16,2,1,0,0,Rainy,2.1,4,274656
2019-01-09,6,2,1,1,1,Cloudy,3.0,3,137892
2019-01-11,10,4,1,0,0,Rainy,4.1,2,179290
2019-01-11,6,4,1,0,0,Sunny,4.5,3,92082
2019-01-12,7,5,1,0,1,Sunny,4.4,5,120883
2019-01-14,10,0,1,0,0,Cloudy,3.3,2,235270
2019-01-15,9,1,1,1,0,Cloudy,2.0,2,112086
2019-01-15,12,1,1,0,0,Sunny,3.6,2,339960
2019-01-20,13,6,1,0,0,Sunny,3.8,3,298883
2019-01-20,15,6,1,0,0,Rainy,1.0,5,192120
2019-01-21,7,0,1,0,0,Sunny,2.8,3,116494
2019-01-21,16,0,1,0,0,Cloudy,4.4,5,221200
2019-01-22,14,1,1,0,0,Sunny,3.0,3,189504
2019-01-23,7,2,1,1,0,Cloudy,2.2,3,177163
2019-01-24,7,3,1,0,0,Cloudy,4.5,3,96614
2019-01-24,17,3,1,0,0,Rainy,1.6,2,482018
2019-01-25,17,4,1,0,0,Rainy,1.8,3,274414
2019-01-26,10,5,1,0,1,Rainy,3.7,5,292030
2019-01-26,19,5,1,1,0,Rainy,2.4,5,362786
2019-01-27,19,6,1,1,0,Sunny,3.9,5,196916
2019-01-28,5,0,1,0,0,Rainy,1.6,2,147515
2019-01-31,11,3,1,0,0,Sunny,2.0,3,282568
2019-01-31,16,3,1,0,0,Rainy,1.6,3,189808
2019-01-31,5,3,1,1,0,Rainy,4.8,4,132495
2019-01-31,18,3,1,0,0,Cloudy,2.6,2,307512
2019-02-01,9,4,2,0,1,Sunny,2.3,5,162144
2019-02-01,19,4,2,1,0,Cloudy,1.1,5,235296
2019-02-02,14,5,2,1,0,Rainy,1.6,3,351008
2019-02-02,17,5,2,0,0,Sunny,2.7,5,236895
2019-02-02,12,5,2,0,0,Rainy,1.3,3,277524
2019-02-03,8,6,2,1,0,Cloudy,3.0,3,195856
2019-02-04,9,0,2,0,0,Sunny,2.8,4,159678
2019-02-05,8,1,2,1,0,Cloudy,4.1,2,209320
2019-02-05,16,1,2,0,0,Rainy,3.6,3,199840
2019-02-05,16,1,2,0,0,Rainy,2.8,3,373184
2019-02-05,18,1,2,0,0,Rainy,1.9,3,505944
2019-02-06,8,2,2,0,0,Sunny,3.9,4,233208
2019-02-06,16,2,2,0,0,Cloudy,3.8,3,178192
2019-02-06,12,2,2,0,0,Cloudy,1.6,2,161040
2019-02-07,6,3,2,0,0,Rainy,4.7,2,95070
2019-02-08,5,4,2,0,0,Cloudy,1.3,5,69530
2019-02-09,7,5,2,0,1,Sunny,1.2,2,205359
2019-02-10,13,6,2,0,0,Rainy,1.7,5,291369
2019-02-11,8,0,2,0,0,Rainy,4.6,2,82208
2019-02-12,14,1,2,0,0,Rainy,3.1,5,397362
2019-02-17,9,6,2,0,0,Sunny,4.2,3,248499
2019-02-18,6,0,2,0,0,Rainy,1.9,4,98022
2019-02-22,8,4,2,0,1,Rainy,3.0,4,175552
2019-02-22,6,4,2,0,0,Rainy,2.4,4,155436
2019-02-23,19,5,2,1,1,Rainy,4.3,3,514501
2019-02-23,6,5,2,0,1,Cloudy,1.1,4,133836
2019-02-24,8,6,2,0,0,Rainy,2.0,2,164024
2019-02-24,10,6,2,1,0,Sunny,1.6,5,292250
2019-02-26,11,1,2,0,0,Rainy,4.4,3,156288
2019-03-01,14,4,3,0,0,Rainy,2.9,4,302260
2019-03-05,7,1,3,0,1,Cloudy,2.6,2,146202
2019-03-08,7,4,3,0,0,Rainy,2.8,2,160062
2019-03-08,14,4,3,0,1,Cloudy,4.9,3,155232
2019-03-11,10,0,3,0,0,Sunny,4.4,3,133630
2019-03-11,17,0,3,0,1,Cloudy,3.8,4,170408
2019-03-11,16,0,3,0,1,Rainy,2.2,5,316224
