Boarding_House_ID,Location,Room_Type,Price (LKR),Availability,Amenities,Ratings,Proximity_to_Landmark,Query
BD34,Piliyandala,Double,9930,Available,"Parking, Pet-Friendly, Gym",1.2,9.9,Are there any boarding houses near Pittugala?
BD35,Rajagiriya,Shared,8332,Available,"Pet-Friendly, Pool, Air Conditioning",3.5,4.5,Show me boarding houses with a rating of 5 stars.
BD36,Colombo 6,Shared,10601,Available,"Wi-Fi, Parking, Pet-Friendly, Air Conditioning, Gym",2.9,10,Are there any boarding houses near Biyagama?
BD37,Pannipitiya,Shared,13498,Occupied,"Air Conditioning, Laundry, Pool, Pet-Friendly, Parking",3.4,9.6,Find a boarding house with Wi-Fi and Wi-Fi.
BD38,Moratuwa,Single,14733,Available,"Laundry, Gym",2.2,3.9,Find a boarding house with Air Conditioning and Attach Bathroom.
BD39,Mount Lavinia,Shared,10856,Available,"Pet-Friendly, Wi-Fi",3.1,5.6,Are there any boarding houses near Kotte?
BD40,Colombo 9,Shared,11878,Occupied,"Laundry, Pet-Friendly, Gym",1.2,5.1,Find a boarding house with Kitchen and Attach Bathroom.
BD41,Moratuwa,Double,11676,Occupied,"Wi-Fi, Parking, Laundry, Air Conditioning, Pool",4.5,2.2,Are there any boarding houses near Weliwita?
BD42,Colombo 7,Shared,9131,Available,"Pet-Friendly, Air Conditioning, Parking",2.3,3.5,Find a boarding house with Wi-Fi and Parking.
BD43,Dehiwala,Shared,14159,Available,"Pool, Laundry",3.7,7.1,Find a boarding house with Wi-Fi and Gym.
BD44,Ethul Kotte,Shared,8435,Occupied,"Air Conditioning, Wi-Fi, Laundry, Pool",3.6,4.8,Show me boarding houses with a rating of 3 stars.
BD45,Wattala,Shared,9319,Occupied,"Wi-Fi, Pet-Friendly",1.1,6.2,Find a boarding house with Air Conditioning and Attach Bathroom.
BD46,Kelaniya,Double,12773,Occupied,"Parking, Gym",3.5,0.8,Are there any boarding houses near Horizon Campus?
BD47,Kelaniya,Single,14280,Available,"Wi-Fi, Air Conditioning, Laundry, Pet-Friendly",1.9,6.4,Find a boarding house with Wi-Fi and Attach Bathroom.
BD48,Talangama,Double,12768,Occupied,"Pet-Friendly, Gym, Parking, Pool",4.4,8.2,Show me boarding houses with a rating of 3 stars.
BD49,Kelaniya,Single,11176,Available,"Parking, Air Conditioning, Wi-Fi, Gym",4.3,2.2,Are there any boarding houses near Kotte?
BD50,Thalawathugoda,Double,14237,Available,"Parking, Gym, Wi-Fi, Laundry",3.3,2.3,Show me boarding houses with a rating of 5 stars.
BD51,Kaduwela,Shared,10103,Occupied,"Air Conditioning, Gym, Pool, Wi-Fi, Laundry",1.8,8,Are there any boarding houses near Weliwita?
BD52,Ratmalana,Single,9983,Occupied,"Laundry, Air Conditioning, Parking",2.9,1.6,Find a boarding house with Wi-Fi and Gym.
BD53,Angoda,Double,14730,Occupied,"Pet-Friendly, Laundry, Pool, Wi-Fi, Air Conditioning",4.9,4.6,Find a boarding house with Air Conditioning and Wi-Fi.
BD54,Colombo 2,Double,13592,Available,"Air Conditioning, Pool, Parking, Laundry, Gym",4.5,9.1,Find a boarding house with Kitchen and Air Conditioning.
BD55,Kelaniya,Single,11893,Available,"Parking, Wi-Fi, Gym, Air Conditioning, Laundry",1.6,6.8,Show me boarding houses with a rating of 3 stars.
BD56,Kirulapone,Shared,14527,Available,"Pool, Gym",5,0.7,Find a boarding house with Wi-Fi and Air Conditioning.
BD57,Colombo 5,Single,12164,Available,"Wi-Fi, Gym, Pet-Friendly, Laundry",1.3,9.2,Find a boarding house with Wi-Fi and Parking.
BD58,Ratmalana,Double,11284,Available,"Air Conditioning, Wi-Fi, Gym, Pet-Friendly",1,2.5,Are there any boarding houses near Kaduwela?
BD59,Angoda,Shared,9974,Occupied,"Pet-Friendly, Pool, Laundry, Wi-Fi, Parking",3,3.6,Show me boarding houses with a rating of 3 stars.
BD60,Kolonnawa,Single,13125,Available,"Laundry, Wi-Fi",3.6,3.7,Find a boarding house with Study/Workspace and Attach Bathroom.
BD61,Rajagiriya,Shared,13291,Available,"Parking, Laundry, Pool, Wi-Fi",3.1,4.3,Show me boarding houses with a rating of 2 stars.
BD62,Angoda,Shared,13962,Available,"Air Conditioning, Pet-Friendly, Pool, Gym",1.7,9.2,Are there any boarding houses near Colombo 2?
BD63,Kiribathgoda,Shared,11627,Occupied,"Pet-Friendly, Pool, Wi-Fi, Gym",2.5,7.2,Show me boarding houses with a rating of 2 stars.
BD64,Malabe,Double,9030,Occupied,"Parking, Laundry, Pool, Gym, Air Conditioning",3.3,7.8,Find a boarding house with Wi-Fi and Parking.
BD65,Kiribathgoda,Single,13090,Occupied,"Gym, Laundry, Parking, Air Conditioning",4.1,3.8,Show me boarding houses with a rating of 4 stars.
BD66,Colombo 6,Shared,13262,Occupied,"Parking, Gym",3.9,4.8,Are there any boarding houses near Pittugala?
BD67,Hokandara,Shared,8906,Occupied,"Gym, Parking, Pet-Friendly, Pool, Wi-Fi",2.6,0.5,Are there any boarding houses near Thalahena?
BD68,Colombo 7,Double,13821,Occupied,"Air Conditioning, Pet-Friendly, Gym",4.4,9.1,Are there any boarding houses near SLIIT University?
BD69,Colombo 9,Shared,8009,Available,"Gym, Pet-Friendly, Pool, Laundry",1.8,1.3,Are there any boarding houses near Angoda?
BD70,Colombo 9,Double,13768,Occupied,"Air Conditioning, Pool, Pet-Friendly, Wi-Fi",2.4,5,Show me boarding houses with a rating of 4 stars.
BD71,Kesbewa,Double,12992,Occupied,"Air Conditioning, Laundry, Wi-Fi, Gym",3.8,7.4,Find a boarding house with Laundry and Attach Bathroom.
BD72,Kohuwala,Double,8423,Occupied,"Pet-Friendly, Parking",4.6,4.6,Find a boarding house with Gym and Kitchen.
BD73,Wellawatte,Single,12856,Available,"Pet-Friendly, Parking",2.2,9.8,Are there any boarding houses near Colombo 2?
BD74,Colombo 10,Single,14157,Occupied,"Pet-Friendly, Air Conditioning, Pool, Laundry, Gym",3.7,2.3,Find a boarding house with Parking and Laundry.
BD75,Thimbirigasyaya,Shared,14062,Available,"Pool, Wi-Fi, Air Conditioning",2.5,7.6,Find a boarding house with Parking and Wi-Fi.
BD76,Pelawatte,Double,10693,Available,"Air Conditioning, Gym, Pool",5,5.6,Find a boarding house with Kitchen and Attach Bathroom.
BD77,Colombo 7,Double,11569,Occupied,"Laundry, Pet-Friendly",2.5,6.4,Are there any boarding houses near Thalahena?
BD78,Battaramulla,Double,14617,Available,"Parking, Air Conditioning, Wi-Fi, Laundry",4.3,5,Find a boarding house with Parking and Wi-Fi.
BD79,Kotte,Single,9488,Available,"Pool, Wi-Fi, Laundry, Gym",1.7,8.3,Show me boarding houses with a rating of 1 stars.
BD80,Nawala,Single,12394,Occupied,"Laundry, Gym, Pet-Friendly, Pool",1.6,2.4,Show me boarding houses with a rating of 2 stars.
BD81,Moratuwa,Single,12270,Occupied,"Pet-Friendly, Wi-Fi, Gym, Air Conditioning",4,2.7,Show me boarding houses with a rating of 4 stars.
BD82,Kaduwela,Single,10468,Available,"Air Conditioning, Wi-Fi, Pool, Gym, Parking",1.8,3.9,Show me boarding houses with a rating of 1 stars.
BD83,Colombo 5,Double,13272,Occupied,"Gym, Air Conditioning",1.4,5.9,Find a boarding house with Parking and Study/Workspace.
BD84,Colombo 10,Single,14165,Occupied,"Air Conditioning, Gym, Wi-Fi, Laundry, Pet-Friendly",1.5,8.7,Find a boarding house with Study/Workspace and Laundry.
BD85,Wellawatte,Single,13707,Available,"Wi-Fi, Parking, Gym",3.4,7.8,Find a boarding house with Gym and Laundry.
BD86,Thalawathugoda,Single,13424,Occupied,"Pet-Friendly, Gym, Pool, Parking, Laundry",2.2,3.1,Find a boarding house with Parking and Gym.
BD87,Pelawatte,Shared,13574,Occupied,"Pet-Friendly, Pool, Parking, Wi-Fi",3.1,5.8,Are there any boarding houses near Battaramulla?
BD88,Moratuwa,Single,13423,Available,"Parking, Gym, Laundry, Pool, Air Conditioning",5,6.4,Are there any boarding houses near Thalahena?
BD89,Pannipitiya,Shared,8147,Available,"Laundry, Parking, Gym",2.1,4,Show me boarding houses with a rating of 4 stars.
BD90,Colombo 5,Single,9696,Available,"Wi-Fi, Parking, Air Conditioning",1.5,7.5,Find a boarding house with Gym and Attach Bathroom.
BD91,Colombo 10,Shared,10136,Occupied,"Gym, Laundry, Pool, Parking, Air Conditioning",3.4,2.9,Are there any boarding houses near Biyagama?
BD92,Thimbirigasyaya,Double,14354,Available,"Pool, Wi-Fi, Parking, Pet-Friendly, Air Conditioning",4.9,7.5,Show me boarding houses with a rating of 4 stars.
BD93,Ethul Kotte,Single,9097,Available,"Pool, Wi-Fi",4.6,8,Find a boarding house with Wi-Fi and Laundry.
BD94,Homagama,Double,13438,Occupied,"Laundry, Pet-Friendly, Parking, Air Conditioning",2.7,8.4,Find a boarding house with Air Conditioning and Attach Bathroom.
BD95,Kotte,Shared,13281,Occupied,"Pet-Friendly, Gym, Air Conditioning, Wi-Fi, Laundry",2.8,4.5,Find a boarding house with Study/Workspace and Air Conditioning.
BD96,Thalawathugoda,Shared,13784,Occupied,"Gym, Pet-Friendly, Parking",3.9,9.2,Show me boarding houses with a rating of 3 stars.
BD97,Narahenpita,Single,9491,Available,"Laundry, Parking, Wi-Fi, Air Conditioning",4.1,0.9,Find a boarding house with Wi-Fi and Attach Bathroom.
BD98,Colombo 10,Shared,8205,Occupied,"Pet-Friendly, Air Conditioning, Pool",5,6.9,Show me boarding houses with a rating of 3 stars.
BD99,Kesbewa,Shared,9431,Occupied,"Pool, Pet-Friendly, Parking, Gym",2.7,9.5,Are there any boarding houses near Malabe?
BD100,Maharagama,Shared,9880,Available,"Laundry, Wi-Fi, Gym",2.8,2.6,Find a boarding house with Kitchen and Wi-Fi.
BD101,Ratmalana,Double,13603,Occupied,"Pool, Gym, Wi-Fi, Laundry, Parking",2.7,9.4,Are there any boarding houses near Battaramulla?
BD102,Talangama,Shared,13261,Available,"Gym, Wi-Fi, Air Conditioning, Laundry, Pool",1.8,4.9,Show me boarding houses with a rating of 5 stars.
BD103,Ethul Kotte,Shared,11078,Occupied,"Pool, Pet-Friendly",2.6,9.5,Show me boarding houses with a rating of 3 stars.
BD104,Colombo 5,Single,12039,Occupied,"Gym, Laundry, Parking",1.8,4.6,Show me boarding houses with a rating of 2 stars.
BD105,Piliyandala,Shared,13433,Occupied,"Pet-Friendly, Laundry, Pool",4.6,4.8,Are there any boarding houses near Thalahena?
BD106,Kohuwala,Single,13767,Occupied,"Air Conditioning, Parking, Wi-Fi, Pet-Friendly, Laundry",2.8,5.8,Find a boarding house with Parking and Gym.
BD107,Kotte,Double,10473,Available,"Pet-Friendly, Wi-Fi, Gym",1.3,4.4,Find a boarding house with Kitchen and Kitchen.
BD108,Ethul Kotte,Double,14084,Occupied,"Air Conditioning, Wi-Fi, Parking",2.5,6.2,Show me boarding houses with a rating of 5 stars.
BD109,Attidiya,Single,8635,Available,"Laundry, Wi-Fi",1.2,2,Are there any boarding houses near Angoda?
BD110,Colombo 4,Shared,8309,Available,"Air Conditioning, Gym, Pool",3,8,Find a boarding house with Kitchen and Gym.
BD111,Piliyandala,Single,10712,Occupied,"Gym, Pet-Friendly, Parking, Laundry, Pool",1.1,3.8,Are there any boarding houses near Malabe?
BD112,Kesbewa,Shared,12458,Available,"Laundry, Parking, Wi-Fi, Gym, Air Conditioning",4.6,3.8,Find a boarding house with Parking and Gym.
BD113,Kotte,Single,11788,Occupied,"Laundry, Wi-Fi, Air Conditioning, Parking",2,4.3,Are there any boarding houses near Thalahena?
BD114,Piliyandala,Double,10016,Available,"Parking, Laundry",2,8.7,Show me boarding houses with a rating of 3 stars.
BD115,Kelaniya,Single,12633,Occupied,"Gym, Parking",3.1,7.4,Find a boarding house with Wi-Fi and Attach Bathroom.
BD116,Kotte,Shared,8602,Available,"Air Conditioning, Laundry, Wi-Fi, Parking",4.6,6.3,Need a single room in Malabe close to the CINEC.
BD117,Battaramulla,Single,14254,Available,"Parking, Gym, Laundry, Air Conditioning, Wi-Fi",4.2,9.5,Find a boarding house with Kitchen and Air Conditioning.
BD118,Hokandara,Double,9178,Available,"Wi-Fi, Parking, Laundry",4.2,5.8,Are there any boarding houses near Colombo 1?
BD119,Hokandara,Shared,12534,Occupied,"Air Conditioning, Wi-Fi, Parking, Laundry, Gym",3.2,7.1,Are there any boarding houses near Colombo?
BD120,Colombo 4,Double,8273,Available,"Laundry, Air Conditioning, Wi-Fi",3.4,6.8,Show me boarding houses with a rating of 3 stars.
BD121,Kesbewa,Shared,9813,Available,"Parking, Gym",4.6,2.7,Find a boarding house with Gym and Kitchen.
BD122,Thimbirigasyaya,Shared,9659,Available,"Wi-Fi, Pet-Friendly, Pool, Air Conditioning",4.6,3.3,Show me boarding houses with a rating of 1 stars.
BD123,Thalawathugoda,Double,11984,Available,"Pet-Friendly, Pool",2,3.6,Find a boarding house with Gym and Wi-Fi.
BD124,Kesbewa,Shared,11379,Available,"Wi-Fi, Parking, Air Conditioning",2.2,3,Show me boarding houses with a rating of 5 stars.
BD125,Pannipitiya,Double,11325,Available,"Wi-Fi, Gym, Pet-Friendly, Laundry, Pool",2.7,7.8,Find a boarding house with Wi-Fi and Kitchen.
BD126,Colombo 5,Shared,11695,Available,"Parking, Air Conditioning, Wi-Fi",1.4,4.2,Find a boarding house with Laundry and Attach Bathroom.
BD127,Colombo 3,Single,10916,Occupied,"Parking, Pet-Friendly, Laundry",2.6,4.9,Are there any boarding houses near Colombo 1?
BD128,Colombo 6,Double,13592,Available,"Pool, Wi-Fi",3.4,2,Are there any boarding houses near NSBM?
BD129,Wattala,Double,13667,Occupied,"Laundry, Wi-Fi, Parking",3.7,8.3,Find a boarding house with Wi-Fi and Study/Workspace.
BD130,Attidiya,Double,12766,Occupied,"Pool, Pet-Friendly, Parking",3.7,7.4,Find a boarding house with Kitchen and Gym.
BD131,Rajagiriya,Single,14671,Occupied,"Laundry, Pet-Friendly",1.7,1.7,Find a boarding house with Study/Workspace and Kitchen.
BD132,Kaduwela,Double,14407,Available,"Pool, Air Conditioning",2.2,2.2,Find a boarding house with Air Conditioning and Attach Bathroom.
BD133,Hokandara,Double,14995,Available,"Pool, Parking, Wi-Fi, Air Conditioning, Laundry",3.7,5.1,Show me boarding houses with a rating of 5 stars.
BD134,Thimbirigasyaya,Shared,8435,Available,"Wi-Fi, Laundry, Pool, Parking, Air Conditioning",2.2,2,Find a boarding house with Attach Bathroom and Parking.
BD135,Colombo 10,Shared,8677,Occupied,"Pet-Friendly, Air Conditioning, Gym, Wi-Fi, Pool",2.3,8.1,Find a boarding house with Attach Bathroom and Laundry.
BD136,Ethul Kotte,Double,9705,Occupied,"Pool, Gym, Air Conditioning, Pet-Friendly",4.5,5.1,Show me boarding houses with a rating of 3 stars.
BD137,Rajagiriya,Shared,14086,Available,"Pool, Air Conditioning, Wi-Fi",1.5,9.9,Are there any boarding houses near Battaramulla?
BD138,Talangama,Double,9263,Available,"Air Conditioning, Laundry, Pool, Gym",1.7,3.2,Are there any boarding houses near Pittugala?
BD139,Angoda,Single,9334,Available,"Pool, Pet-Friendly, Laundry, Gym",2.2,7.8,Show me boarding houses with a rating of 3 stars.
BD140,Kotte,Shared,13688,Occupied,"Air Conditioning, Laundry, Pet-Friendly",3.4,4.7,Show me boarding houses with a rating of 5 stars.
BD141,Colombo 3,Shared,13575,Occupied,"Gym, Laundry, Pool, Parking",1,6.3,Show me boarding houses with a rating of 2 stars.
BD142,Ratmalana,Single,12323,Available,"Wi-Fi, Pet-Friendly, Gym, Pool",3.8,1.3,Show me boarding houses with a rating of 1 stars.
BD143,Kolonnawa,Single,10855,Available,"Wi-Fi, Pool, Laundry",3.9,2.6,Are there any boarding houses near Colombo 3?
BD144,Colombo 8,Single,13296,Occupied,"Pool, Pet-Friendly",3.8,7.3,Are there any boarding houses near Pittugala?
BD145,Kotte,Double,14307,Occupied,"Gym, Air Conditioning, Pool, Wi-Fi, Parking",1.1,2.7,Are there any boarding houses near Malabe?
BD146,Moratuwa,Single,10708,Available,"Laundry, Air Conditioning, Parking",1.7,2.5,Show me boarding houses with a rating of 1 stars.
BD147,Colombo 1,Double,11301,Occupied,"Laundry, Pet-Friendly, Wi-Fi, Parking",1.3,4.1,Show me boarding houses with a rating of 4 stars.
BD148,Colombo 2,Double,13815,Available,"Laundry, Air Conditioning, Wi-Fi, Pool",3,6.2,Find a boarding house with Laundry and Attach Bathroom.
BD149,Colombo 8,Shared,11909,Occupied,"Wi-Fi, Pool",4.8,8.8,Show me boarding houses with a rating of 3 stars.
BD150,Kiribathgoda,Shared,9098,Occupied,"Pet-Friendly, Wi-Fi, Gym",3.4,4.8,Find a boarding house with Laundry and Parking.
BD151,Ratmalana,Single,13697,Available,"Parking, Laundry, Air Conditioning, Wi-Fi, Pet-Friendly",2.1,6.2,Are there any boarding houses near Kotte?
BD152,Homagama,Single,8460,Occupied,"Wi-Fi, Pool",2.3,3,Find a boarding house with Gym and Parking.
BD153,Maharagama,Double,11397,Available,"Wi-Fi, Pool, Laundry, Pet-Friendly, Air Conditioning",1.7,1.5,Are there any boarding houses near Biyagama?
BD154,Pelawatte,Single,12859,Available,"Gym, Pool, Pet-Friendly, Air Conditioning, Parking",1.1,3.4,Show me boarding houses with a rating of 4 stars.
BD155,Kolonnawa,Single,12163,Available,"Air Conditioning, Parking, Pool, Laundry, Wi-Fi",1.7,2.3,Are there any boarding houses near Malabe?
BD156,Colombo 6,Shared,13966,Occupied,"Air Conditioning, Parking",4.1,9.1,Are there any boarding houses near Angoda?
BD157,Colombo 7,Shared,14638,Available,"Air Conditioning, Laundry",3.2,3.2,Find a boarding house with Wi-Fi and Laundry.
BD158,Dehiwala,Single,8434,Occupied,"Pool, Pet-Friendly, Air Conditioning, Wi-Fi, Parking",4.9,7.1,Show me boarding houses with a rating of 3 stars.
BD159,Moratuwa,Single,14663,Available,"Laundry, Gym, Pool, Wi-Fi",1.6,8.8,Find a boarding house with Parking and Parking.
BD160,Colombo 1,Single,12659,Available,"Air Conditioning, Pet-Friendly, Wi-Fi, Pool, Laundry",2.6,4.3,Are there any boarding houses near CINEC?
BD161,Thimbirigasyaya,Single,14088,Occupied,"Air Conditioning, Laundry, Pool",3.5,1.2,Find a boarding house with Kitchen and Wi-Fi.
BD162,Moratuwa,Double,13991,Occupied,"Gym, Laundry",1.1,4.5,Find a boarding house with Study/Workspace and Parking.
BD163,Colombo 7,Double,11754,Occupied,"Parking, Air Conditioning, Pool",1.1,6.2,Find a boarding house with Gym and Laundry.
BD164,Colombo 8,Shared,13738,Available,"Wi-Fi, Pet-Friendly, Pool, Air Conditioning, Parking",4.6,6.2,Find a boarding house with Kitchen and Kitchen.
BD165,Colombo 10,Shared,12563,Available,"Parking, Pet-Friendly, Laundry, Gym",4.5,8.2,Are there any boarding houses near Biyagama?
BD166,Borella,Double,12080,Occupied,"Air Conditioning, Gym",2.4,3.4,Are there any boarding houses near Weliwita?
BD167,Thalawathugoda,Double,14569,Available,"Parking, Gym, Pool, Pet-Friendly",1.4,8.1,Find a boarding house with Attach Bathroom and Attach Bathroom.
BD168,Colombo 1,Single,10985,Available,"Air Conditioning, Wi-Fi, Pet-Friendly, Laundry, Pool",2.1,2.5,Find a boarding house with Gym and Study/Workspace.
BD169,Colombo 3,Single,9909,Occupied,"Gym, Parking, Pool, Air Conditioning",4.6,2.9,Find a boarding house with Laundry and Air Conditioning.
BD170,Kirulapone,Double,12033,Occupied,"Laundry, Wi-Fi, Pet-Friendly, Air Conditioning, Gym",1.4,1.4,Show me boarding houses with a rating of 1 stars.
BD171,Pannipitiya,Double,12952,Occupied,"Laundry, Pool, Wi-Fi, Air Conditioning",2.6,4.6,Are there any boarding houses near Kotte?
BD172,Colombo 4,Shared,13864,Occupied,"Gym, Pet-Friendly, Laundry, Pool, Parking",3.3,1.8,Show me boarding houses with a rating of 2 stars.
BD173,Kelaniya,Shared,9690,Occupied,"Laundry, Parking",4.9,7.5,Show me boarding houses with a rating of 3 stars.
BD174,Colombo 4,Single,8099,Occupied,"Gym, Pool, Air Conditioning, Pet-Friendly, Wi-Fi",4.7,3.4,Are there any boarding houses near Colombo 2?
BD175,Pelawatte,Double,8782,Occupied,"Parking, Pet-Friendly, Wi-Fi, Air Conditioning, Laundry",2.6,3.2,Show me boarding houses with a rating of 2 stars.
BD176,Moratuwa,Shared,14973,Occupied,"Pool, Air Conditioning, Laundry, Gym",1.3,3.5,Are there any boarding houses near SLIIT University?
BD177,Mount Lavinia,Double,8377,Occupied,"Wi-Fi, Gym, Laundry, Air Conditioning",1.4,5.6,Are there any boarding houses near Horizon Campus?
BD178,Colombo 1,Single,12669,Available,"Gym, Pool, Wi-Fi, Pet-Friendly, Parking",1.6,3.8,Are there any boarding houses near Mount Lavinia?
BD179,Dehiwala,Double,13662,Available,"Air Conditioning, Pool, Gym, Wi-Fi, Pet-Friendly",3.2,9.3,Are there any boarding houses near NSBM?
BD180,Ethul Kotte,Double,13648,Occupied,"Parking, Air Conditioning, Wi-Fi, Laundry, Pool",1.2,1.6,Show me boarding houses with a rating of 2 stars.
BD181,Colombo 4,Shared,9240,Available,"Wi-Fi, Pool, Laundry, Air Conditioning, Gym",2.9,7.4,Show me boarding houses with a rating of 5 stars.
BD182,Colombo 9,Single,11098,Occupied,"Laundry, Pet-Friendly, Parking, Wi-Fi",4.2,4.7,Find a boarding house with Gym and Gym.
BD183,Narahenpita,Single,12995,Occupied,"Air Conditioning, Pool, Parking, Gym",4.8,9.3,Find a boarding house with Study/Workspace and Study/Workspace.
BD184,Kolonnawa,Shared,14808,Occupied,"Pet-Friendly, Gym",1.1,7.9,Find a boarding house with Parking and Study/Workspace.
BD185,Colombo 2,Shared,9247,Occupied,"Pool, Gym, Laundry, Wi-Fi, Air Conditioning",2.7,3.4,Are there any boarding houses near NSBM?
BD186,Kaduwela,Single,8858,Occupied,"Air Conditioning, Pet-Friendly",4.8,7.2,Are there any boarding houses near SLIIT University?
BD187,Battaramulla,Double,12972,Available,"Pool, Parking, Wi-Fi, Air Conditioning, Pet-Friendly",3.7,1.1,Show me boarding houses with a rating of 4 stars.
BD188,Colombo 7,Single,14908,Available,"Pet-Friendly, Gym, Wi-Fi",3.2,1.5,Are there any boarding houses near Malabe?
BD189,Wattala,Single,13233,Occupied,"Parking, Wi-Fi, Laundry, Pet-Friendly, Gym",4.8,1.9,Are there any boarding houses near Colombo?
BD190,Talangama,Shared,8777,Available,"Gym, Wi-Fi, Air Conditioning",2.2,3.1,Show me boarding houses with a rating of 2 stars.
BD191,Pelawatte,Shared,12558,Available,"Gym, Pet-Friendly, Pool, Wi-Fi",4.2,2.6,Show me boarding houses with a rating of 4 stars.
BD192,Homagama,Shared,8326,Available,"Wi-Fi, Pet-Friendly, Parking",4,7,Are there any boarding houses near SLIIT University?
BD193,Thimbirigasyaya,Shared,10575,Available,"Laundry, Pool, Gym, Wi-Fi",1.7,5.6,Show me boarding houses with a rating of 1 stars.
